time	V(triangle)
0.000000000000000e+000	1.331917e+000
2.000000000000266e-006	1.340423e+000
6.000000000000796e-006	1.357442e+000
1.499999999999939e-005	1.395739e+000
1.999999999999919e-005	1.418590e+000
2.002396425289724e-005	1.419764e+000
2.007189275869507e-005	1.423131e+000
2.009519166229316e-005	1.423664e+000
2.011231346948222e-005	1.423660e+000
2.013680547887677e-005	1.423640e+000
2.016368393562874e-005	1.423437e+000
2.019279539266193e-005	1.423092e+000
2.022755472444460e-005	1.422770e+000
2.026523186826092e-005	1.422589e+000
2.033544495216692e-005	1.422594e+000
2.047587111997720e-005	1.423154e+000
2.070118484788844e-005	1.424273e+000
2.093550292697408e-005	1.425288e+000
2.122217023899607e-005	1.426558e+000
2.153083853042269e-005	1.427993e+000
2.214817511327592e-005	1.429984e+000
2.237579488423465e-005	1.429934e+000
2.250147400064372e-005	1.430009e+000
2.258837899216451e-005	1.430161e+000
2.268763445494905e-005	1.430152e+000
2.280189151408242e-005	1.430084e+000
2.301595522272854e-005	1.429854e+000
2.324082429418922e-005	1.429094e+000
2.338288526915373e-005	1.428104e+000
2.347112916328831e-005	1.427554e+000
2.366400602417385e-005	1.426826e+000
2.380053229574485e-005	1.426284e+000
2.392484905071150e-005	1.425766e+000
2.412155347271232e-005	1.424949e+000
2.451496231671395e-005	1.423233e+000
2.500000000000072e-005	1.421032e+000
2.500257848222359e-005	1.420486e+000
2.500773544666761e-005	1.419440e+000
2.501804937555738e-005	1.417644e+000
2.502843164582831e-005	1.416428e+000
2.504453791610066e-005	1.415489e+000
2.505493712754922e-005	1.415208e+000
2.506852110224084e-005	1.414937e+000
2.508328095954596e-005	1.414636e+000
2.510358587017904e-005	1.414423e+000
2.512628476106921e-005	1.414505e+000
2.515132854906746e-005	1.414778e+000
2.518300564003165e-005	1.415139e+000
2.522576804086900e-005	1.415527e+000
2.529621226057821e-005	1.415828e+000
2.536989574313843e-005	1.415745e+000
2.544807965567178e-005	1.415403e+000
2.554763898798655e-005	1.414904e+000
2.570499901112869e-005	1.414187e+000
3.316874999975631e-004	1.121782e-001
3.370000000000005e-004	8.957350e-002
3.370253197120410e-004	8.676448e-002
3.370759591361239e-004	8.337099e-002
3.370993068742504e-004	8.288991e-002
3.371169160328331e-004	8.292046e-002
3.371417121897924e-004	8.297306e-002
3.371697689410237e-004	8.321041e-002
3.371996248957721e-004	8.355845e-002
3.372377074872656e-004	8.387943e-002
3.372774085453004e-004	8.403697e-002
3.373446677687065e-004	8.399495e-002
3.374581979315849e-004	8.352373e-002
3.376717330321657e-004	8.245198e-002
3.378938570203528e-004	8.147997e-002
3.381601969103393e-004	8.031023e-002
3.384501917757573e-004	7.893904e-002
3.390301815065951e-004	7.669965e-002
3.392425848218802e-004	7.655231e-002
3.393919986840396e-004	7.655574e-002
3.395217982868470e-004	7.645544e-002
3.396608732747879e-004	7.646653e-002
3.399036436079490e-004	7.667866e-002
3.403042008241538e-004	7.795382e-002
3.404918043290878e-004	7.915011e-002
3.405960879993304e-004	7.963148e-002
3.406849524082729e-004	7.985105e-002
3.409780039181388e-004	8.103321e-002
3.412009991963141e-004	8.197703e-002
3.415540094436481e-004	8.351614e-002
3.420000000000003e-004	8.562241e-002
3.420024657746837e-004	8.615280e-002
3.420073973240522e-004	8.713721e-002
3.420172604227893e-004	8.877801e-002
3.420315326531972e-004	9.036653e-002
3.420464332444546e-004	9.118536e-002
3.420574569526977e-004	9.145232e-002
3.420725096876486e-004	9.174971e-002
3.420881805324943e-004	9.203159e-002
3.421098424015480e-004	9.216849e-002
3.421333715701684e-004	9.201575e-002
3.421592262894541e-004	9.171502e-002
3.421910701022612e-004	9.136644e-002
3.422481329266990e-004	9.092797e-002
3.423255855141121e-004	9.075892e-002
3.424053151535218e-004	9.098022e-002
