time	V(vin)	V(vout)
0.000000000000000e+000	3.333333e-001	-6.977399e-001
6.626674107142718e-006	3.775112e-001	-6.550055e-001
1.325334821428544e-005	4.216890e-001	-6.099945e-001
1.988002232142815e-005	4.658668e-001	-5.627067e-001
2.650669642857087e-005	5.100446e-001	-5.131422e-001
3.313337053571359e-005	5.542225e-001	-4.613009e-001
3.976004464285631e-005	5.984003e-001	-4.071830e-001
4.638671874999901e-005	6.425781e-001	-3.507883e-001
5.126953124999891e-005	6.751302e-001	-3.081908e-001
6.103515624999870e-005	7.402344e-001	-2.200534e-001
6.591796874999860e-005	7.727864e-001	-1.745930e-001
7.080078124999849e-005	8.053386e-001	-1.282555e-001
7.568359374999839e-005	8.378906e-001	-8.107720e-002
8.056640624999828e-005	8.704427e-001	-3.309325e-002
8.544921874999818e-005	9.029948e-001	1.566249e-002
9.033203124999807e-005	9.355469e-001	6.515739e-002
9.521484374999797e-005	9.680989e-001	1.153567e-001
9.999999999999983e-005	9.970462e-001	1.650705e-001
1.004882812500000e-004	9.967448e-001	1.701811e-001
1.014648437499999e-004	9.902344e-001	1.804515e-001
1.034179687499997e-004	9.772136e-001	2.010395e-001
1.073242187499997e-004	9.511719e-001	2.422557e-001
1.122070312499996e-004	9.186198e-001	2.936163e-001
1.170898437499995e-004	8.860677e-001	3.444873e-001
1.219726562499994e-004	8.535156e-001	3.945040e-001
1.268554687499993e-004	8.209636e-001	4.433436e-001
1.317382812499992e-004	7.884114e-001	4.907268e-001
1.366210937499991e-004	7.558594e-001	5.364132e-001
1.415039062499989e-004	7.233073e-001	5.801978e-001
1.463867187499988e-004	6.907552e-001	6.219072e-001
1.512695312499987e-004	6.582031e-001	6.613969e-001
1.561523437499986e-004	6.256511e-001	6.985475e-001
1.610351562499985e-004	5.930989e-001	7.332631e-001
1.659179687499984e-004	5.605469e-001	7.654684e-001
1.708007812499983e-004	5.279948e-001	7.951061e-001
1.756835937499982e-004	4.954427e-001	8.221354e-001
1.854492187499980e-004	4.303385e-001	8.682778e-001
1.952148437499978e-004	3.652344e-001	9.038323e-001
2.049804687499976e-004	3.001302e-001	9.288967e-001
2.147460937499974e-004	2.350260e-001	9.436927e-001
2.196289062499973e-004	2.024740e-001	9.473351e-001
2.245117187499972e-004	1.699219e-001	9.485340e-001
2.293945312499971e-004	1.373698e-001	9.473387e-001
2.342773437499970e-004	1.048177e-001	9.438016e-001
2.391601562499969e-004	7.226563e-002	9.379777e-001
2.440429687499968e-004	3.971354e-002	9.299233e-001
2.538085937499966e-004	-2.539063e-002	9.073564e-001
2.635742187499963e-004	-9.049479e-002	8.765758e-001
2.733398437499961e-004	-1.555990e-001	8.380623e-001
2.831054687499959e-004	-2.207031e-001	7.922954e-001
2.928710937499957e-004	-2.858073e-001	7.397466e-001
2.977539062499956e-004	-3.183594e-001	7.110730e-001
3.026367187499955e-004	-3.509115e-001	6.808747e-001
3.075195312499954e-004	-3.834635e-001	6.492066e-001
3.124023437499953e-004	-4.160156e-001	6.161222e-001
3.172851562499952e-004	-4.485677e-001	5.816741e-001
3.221679687499951e-004	-4.811198e-001	5.459132e-001
3.270507812499950e-004	-5.136719e-001	5.088895e-001
3.319335937499949e-004	-5.462239e-001	4.706513e-001
3.368164062499948e-004	-5.787761e-001	4.312457e-001
3.416992187499947e-004	-6.113281e-001	3.907186e-001
3.465820312499946e-004	-6.438802e-001	3.491143e-001
3.514648437499945e-004	-6.764323e-001	3.064758e-001
3.612304687499943e-004	-7.415364e-001	2.182615e-001
3.661132812499942e-004	-7.740886e-001	1.727649e-001
3.709960937499941e-004	-8.066406e-001	1.263927e-001
3.758789062499940e-004	-8.391927e-001	7.918119e-002
3.807617187499938e-004	-8.717448e-001	3.116541e-002
3.856445312499937e-004	-9.042969e-001	-1.762082e-002
3.905273437499936e-004	-9.368489e-001	-6.714494e-002
3.999999999999998e-004	-1.000000e+000	-1.650476e-001
4.014648437499998e-004	-9.902344e-001	-1.804451e-001
4.034179687499996e-004	-9.772136e-001	-2.010332e-001
4.073242187499996e-004	-9.511719e-001	-2.422496e-001
4.122070312499995e-004	-9.186198e-001	-2.936105e-001
4.170898437499994e-004	-8.860677e-001	-3.444817e-001
4.219726562499993e-004	-8.535156e-001	-3.944986e-001
4.268554687499992e-004	-8.209636e-001	-4.433385e-001
4.317382812499991e-004	-7.884114e-001	-4.907219e-001
4.366210937499990e-004	-7.558594e-001	-5.364085e-001
4.415039062499989e-004	-7.233073e-001	-5.801933e-001
4.463867187499988e-004	-6.907552e-001	-6.219029e-001
4.512695312499987e-004	-6.582031e-001	-6.613927e-001
4.561523437499986e-004	-6.256511e-001	-6.985435e-001
4.610351562499985e-004	-5.930989e-001	-7.332594e-001
4.659179687499983e-004	-5.605469e-001	-7.654648e-001
4.708007812499982e-004	-5.279948e-001	-7.951026e-001
4.756835937499981e-004	-4.954427e-001	-8.221322e-001
4.854492187499979e-004	-4.303385e-001	-8.682749e-001
4.952148437499977e-004	-3.652344e-001	-9.038296e-001
5.049804687499975e-004	-3.001302e-001	-9.288942e-001
5.147460937499973e-004	-2.350260e-001	-9.436904e-001
5.196289062499972e-004	-2.024740e-001	-9.473330e-001
5.245117187499971e-004	-1.699219e-001	-9.485319e-001
5.293945312499970e-004	-1.373698e-001	-9.473367e-001
5.342773437499969e-004	-1.048177e-001	-9.437998e-001
5.391601562499968e-004	-7.226563e-002	-9.379759e-001
5.440429687499967e-004	-3.971354e-002	-9.299216e-001
5.538085937499965e-004	2.539063e-002	-9.073548e-001
5.635742187499963e-004	9.049479e-002	-8.765743e-001
5.733398437499961e-004	1.555990e-001	-8.380610e-001
5.831054687499958e-004	2.207031e-001	-7.922942e-001
5.928710937499956e-004	2.858073e-001	-7.397456e-001
5.977539062499955e-004	3.183594e-001	-7.110720e-001
6.026367187499954e-004	3.509115e-001	-6.808738e-001
6.075195312499953e-004	3.834635e-001	-6.492057e-001
6.124023437499952e-004	4.160156e-001	-6.161214e-001
6.172851562499951e-004	4.485677e-001	-5.816733e-001
6.221679687499950e-004	4.811198e-001	-5.459124e-001
6.270507812499949e-004	5.136719e-001	-5.088887e-001
6.319335937499948e-004	5.462239e-001	-4.706506e-001
6.368164062499947e-004	5.787761e-001	-4.312450e-001
6.416992187499946e-004	6.113281e-001	-3.907180e-001
6.465820312499945e-004	6.438802e-001	-3.491137e-001
6.514648437499944e-004	6.764323e-001	-3.064752e-001
6.612304687499942e-004	7.415364e-001	-2.182609e-001
