time	V(in)	V(out)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.929687742403431e-011	2.476839e-007	4.470199e+000
5.859375484806861e-011	4.953678e-007	5.960265e+000
2.147496098289318e-005	1.784462e-001	5.961446e+000
4.294986337203151e-005	3.519476e-001	5.962596e+000
6.442476576116985e-005	5.205047e-001	5.963712e+000
8.589966815030818e-005	6.841174e-001	5.964795e+000
1.073745705394465e-004	8.427858e-001	5.965846e+000
1.288494729285849e-004	9.965098e-001	5.966864e+000
1.503243753177231e-004	1.145290e+000	5.967850e+000
2.013846431748660e-004	1.478655e+000	5.970057e+000
2.524449110320089e-004	1.792367e+000	5.972135e+000
3.035051788891518e-004	2.086425e+000	5.974082e+000
3.545654467462947e-004	2.360830e+000	5.975899e+000
4.056257146034377e-004	2.615581e+000	5.977587e+000
4.566859824605805e-004	2.850679e+000	5.979143e+000
5.077462503177234e-004	3.066123e+000	5.980570e+000
5.260183777416911e-004	3.140578e+000	5.981063e+000
5.442905051656587e-004	3.213255e+000	5.981545e+000
5.625626325896264e-004	3.284155e+000	5.982014e+000
5.808347600135941e-004	3.353277e+000	5.982472e+000
5.991068874375617e-004	3.420622e+000	5.982918e+000
6.173790148615294e-004	3.486189e+000	5.983352e+000
6.356511422854970e-004	3.549979e+000	5.983775e+000
6.356574202395985e-004	3.549993e+000	4.747949e+000
6.356662812625478e-004	3.549981e+000	2.010265e+000
6.356840033084463e-004	3.549905e+000	2.350930e-002
6.819145489856334e-004	3.328057e+000	2.204011e-002
7.281450946628204e-004	3.118258e+000	2.065072e-002
7.743756403400075e-004	2.920509e+000	1.934112e-002
8.206061860171945e-004	2.734809e+000	1.811132e-002
8.668367316943816e-004	2.561159e+000	1.696132e-002
9.130672773715687e-004	2.399559e+000	1.589112e-002
9.592978230487556e-004	2.250008e+000	1.490071e-002
9.593035450946540e-004	2.249997e+000	1.162362e+000
9.593126840717048e-004	2.250012e+000	3.988411e+000
9.593309620258065e-004	2.250096e+000	5.975166e+000
1.002484435926739e-003	2.469552e+000	5.976620e+000
1.045637909827672e-003	2.677756e+000	5.977999e+000
1.088791383728604e-003	2.874707e+000	5.979303e+000
1.131944857629537e-003	3.060406e+000	5.980533e+000
1.175098331530469e-003	3.234852e+000	5.981688e+000
1.218251805431402e-003	3.398046e+000	5.982769e+000
1.261405279332335e-003	3.549987e+000	5.983775e+000
1.261411557286436e-003	3.550001e+000	4.747949e+000
1.261420418309385e-003	3.549989e+000	2.010265e+000
1.261438140355284e-003	3.549913e+000	2.350936e-002
1.307668686032469e-003	3.328065e+000	2.204016e-002
1.353899231709655e-003	3.118265e+000	2.065076e-002
1.400129777386840e-003	2.920516e+000	1.934116e-002
1.446360323064026e-003	2.734816e+000	1.811136e-002
1.492590868741211e-003	2.561165e+000	1.696136e-002
1.538821414418396e-003	2.399564e+000	1.589115e-002
1.585051960095582e-003	2.250013e+000	1.490075e-002
1.585057682141480e-003	2.250002e+000	1.162362e+000
1.585066821118531e-003	2.250017e+000	3.988411e+000
1.585085099072632e-003	2.250101e+000	5.975166e+000
1.628238572973549e-003	2.469557e+000	5.976620e+000
1.671392046874465e-003	2.677760e+000	5.977999e+000
1.714545520775382e-003	2.874711e+000	5.979303e+000
1.757698994676299e-003	3.060410e+000	5.980533e+000
1.800852468577216e-003	3.234856e+000	5.981688e+000
1.844005942478133e-003	3.398050e+000	5.982769e+000
1.887159416379049e-003	3.549991e+000	5.983775e+000
1.887165694333151e-003	3.550004e+000	4.747950e+000
1.887174555356100e-003	3.549993e+000	2.010265e+000
1.887192277401999e-003	3.549917e+000	2.350938e-002
1.933422823079187e-003	3.328068e+000	2.204018e-002
1.979653368756375e-003	3.118268e+000	2.065078e-002
2.025883914433563e-003	2.920518e+000	1.934118e-002
2.072114460110751e-003	2.734818e+000	1.811138e-002
2.118345005787939e-003	2.561168e+000	1.696137e-002
2.164575551465127e-003	2.399566e+000	1.589117e-002
2.210806097142315e-003	2.250015e+000	1.490076e-002
2.210811819188213e-003	2.250004e+000	1.162362e+000
2.210820958165264e-003	2.250019e+000	3.988411e+000
2.210839236119366e-003	2.250103e+000	5.975166e+000
2.253992710020302e-003	2.469559e+000	5.976620e+000
2.297146183921237e-003	2.677762e+000	5.977999e+000
2.340299657822173e-003	2.874713e+000	5.979303e+000
2.383453131723108e-003	3.060412e+000	5.980533e+000
2.426606605624044e-003	3.234858e+000	5.981688e+000
2.469760079524980e-003	3.398051e+000	5.982769e+000
2.512913553425915e-003	3.549992e+000	5.983775e+000
2.512919831380017e-003	3.550006e+000	4.747950e+000
2.512928692402966e-003	3.549994e+000	2.010265e+000
2.512946414448865e-003	3.549918e+000	2.350939e-002
2.576041564107084e-003	3.247952e+000	2.150962e-002
2.613258516975955e-003	3.083019e+000	2.041734e-002
2.650475469844827e-003	2.925542e+000	1.937445e-002
2.687692422713699e-003	2.775523e+000	1.838095e-002
2.724909375582571e-003	2.632960e+000	1.743682e-002
2.762126328451442e-003	2.497855e+000	1.654209e-002
2.799343281320314e-003	2.370207e+000	1.569673e-002
2.836560234189186e-003	2.250016e+000	1.490077e-002
2.836565956235084e-003	2.250005e+000	1.162362e+000
2.836575095212136e-003	2.250020e+000	3.988411e+000
2.836593373166238e-003	2.250104e+000	5.975166e+000
2.859438521429387e-003	2.368600e+000	5.975951e+000
2.882283669692536e-003	2.483623e+000	5.976713e+000
2.905128817955685e-003	2.595171e+000	5.977452e+000
2.927973966218834e-003	2.703244e+000	5.978167e+000
2.950819114481983e-003	2.807844e+000	5.978860e+000
2.973664262745132e-003	2.908969e+000	5.979530e+000
2.996509411008281e-003	3.006620e+000	5.980176e+000
2.999439098508281e-003	3.018962e+000	5.980258e+000
3.000000000000000e-003	3.021320e+000	5.980274e+000
