time	V(triangle)	V(vin)
0.000000000000000e+000	2.598770e-001	-1.000000e+000
1.464843750000056e-006	2.625836e-001	-1.000000e+000
4.394531250000167e-006	2.679833e-001	-1.000000e+000
1.525390625000019e-005	2.878736e-001	-1.000000e+000
1.999999999999919e-005	2.977121e-001	-9.935637e-001
2.003240103267204e-005	2.985454e-001	-9.870396e-001
2.009720309801601e-005	3.008325e-001	-9.611188e-001
2.012867191277488e-005	3.010794e-001	-9.485312e-001
2.015433559269739e-005	3.009415e-001	-9.382657e-001
2.018835485938231e-005	3.007242e-001	-9.246581e-001
2.025345587387123e-005	3.002671e-001	-8.986176e-001
2.030736893689732e-005	3.000633e-001	-8.770524e-001
2.037096038429165e-005	3.000718e-001	-8.516158e-001
2.049014607641113e-005	3.003313e-001	-8.039415e-001
2.079605190037463e-005	3.010780e-001	-6.815792e-001
2.100488231917240e-005	3.015255e-001	-5.980471e-001
2.126395695775663e-005	3.019395e-001	-4.944172e-001
2.158263643762919e-005	3.021433e-001	-3.669454e-001
2.188831735295757e-005	3.022306e-001	-2.446731e-001
2.219168564308698e-005	3.022538e-001	-1.233257e-001
2.279842222334752e-005	3.020291e-001	1.193689e-001
2.343619290273193e-005	3.014017e-001	3.744771e-001
2.424488574971108e-005	2.997451e-001	6.979543e-001
2.500000000000072e-005	2.973819e-001	1.000000e+000
2.500613545619937e-005	2.966800e-001	1.000000e+000
2.501840636859841e-005	2.954849e-001	1.000000e+000
2.503563077836321e-005	2.943700e-001	1.000000e+000
2.505368976044899e-005	2.937967e-001	1.000000e+000
2.506940696931151e-005	2.935625e-001	1.000000e+000
2.509131836571366e-005	2.933433e-001	1.000000e+000
2.511713633604300e-005	2.932668e-001	1.000000e+000
2.515410512197655e-005	2.934549e-001	1.000000e+000
2.518894038351822e-005	2.937220e-001	1.000000e+000
2.523382264832223e-005	2.939916e-001	1.000000e+000
2.531680643273054e-005	2.941654e-001	1.000000e+000
2.548277400154543e-005	2.939133e-001	1.000000e+000
2.573870455865532e-005	2.932062e-001	1.000000e+000
2.667834068956705e-005	2.909221e-001	1.000000e+000
2.761797682047879e-005	2.886391e-001	1.000000e+000
2.855761295139053e-005	2.863573e-001	1.000000e+000
2.949724908230226e-005	2.840765e-001	1.000000e+000
3.043688521321400e-005	2.817969e-001	1.000000e+000
3.137652134412573e-005	2.795184e-001	1.000000e+000
3.231615747503747e-005	2.772410e-001	1.000000e+000
6.619553608014882e-005	1.967481e-001	1.000000e+000
9.549241108014993e-005	1.293388e-001	1.000000e+000
1.101408485801505e-004	9.641389e-002	1.000000e+000
1.247892860801510e-004	6.399807e-002	1.000000e+000
1.394377235801516e-004	3.208347e-002	1.000000e+000
1.540861610801522e-004	6.623507e-004	1.000000e+000
1.687345985801527e-004	-3.027292e-002	1.000000e+000
1.833830360801533e-004	-6.072985e-002	1.000000e+000
1.980314735801538e-004	-9.071583e-002	1.000000e+000
2.273283485801549e-004	-1.493040e-001	1.000000e+000
2.712736610801566e-004	-2.338326e-001	1.000000e+000
2.801972855061838e-004	-2.505248e-001	1.000000e+000
2.891209099322110e-004	-2.670647e-001	1.000000e+000
2.980445343582382e-004	-2.834524e-001	1.000000e+000
3.069681587842655e-004	-2.996878e-001	1.000000e+000
3.158917832102927e-004	-3.157709e-001	1.000000e+000
3.248154076363199e-004	-3.317017e-001	1.000000e+000
